"","time","mean_sumsize"
"997",997,24314.9
"998",998,24753.9
"999",999,24984.2
"1000",1000,24537.4
"1001",1001,24206.4
"1002",1002,23903.8
"1003",1003,23357.5
"1004",1004,23383.6
"1005",1005,22991.9
"1006",1006,22625.8
"1007",1007,22659.2
"1008",1008,22547.6
"1009",1009,22571.8
"1010",1010,22232.4
"1011",1011,22439.9
"1012",1012,22424.1
"1013",1013,22186.3
"1014",1014,22030.4
"1015",1015,21712.9
"1016",1016,21830
"1017",1017,21674.6
"1018",1018,21503.2
"1019",1019,21520.5
"1020",1020,21823.4
"1021",1021,21329.8
"1022",1022,21392.9
"1023",1023,21320.4
"1024",1024,20976
"1025",1025,21254
"1026",1026,21150.6
"1027",1027,20880.5
"1028",1028,21147.6
"1029",1029,21186.2
"1030",1030,21358.3
"1031",1031,21411.8
"1032",1032,21335.2
"1033",1033,21157.2
"1034",1034,21000
"1035",1035,21033
"1036",1036,21111.8
"1037",1037,21078
"1038",1038,20926.2
"1039",1039,21235
"1040",1040,20839.7
"1041",1041,20907.9
"1042",1042,20686.6
"1043",1043,20882.1
"1044",1044,20551.4
"1045",1045,20516.4
"1046",1046,20439.5
"1047",1047,20575.6
"1048",1048,21187.1
"1049",1049,20633.2
"1050",1050,20345.8
"1051",1051,20599.2
"1052",1052,20526.9
"1053",1053,20464
"1054",1054,20536
"1055",1055,20567.4
"1056",1056,20743.2
"1057",1057,20788.6
"1058",1058,20690.6
"1059",1059,20767.7
"1060",1060,20935.8
"1061",1061,21005.3
"1062",1062,20932.4
"1063",1063,20965.4
"1064",1064,21234.9
"1065",1065,20794.5
"1066",1066,20896.1
"1067",1067,21146.1
"1068",1068,21310
"1069",1069,21366.9
"1070",1070,21388
"1071",1071,21901.7
"1072",1072,21962.1
"1073",1073,22317.8
"1074",1074,22832.6
"1075",1075,22555.6
"1076",1076,22317.5
"1077",1077,22342.3
"1078",1078,22617.7
"1079",1079,22563.7
"1080",1080,22794.3
"1081",1081,22855.8
"1082",1082,23224
"1083",1083,22976.1
"1084",1084,23176.4
"1085",1085,23210.2
"1086",1086,23728.4
"1087",1087,24037.5
"1088",1088,23877.5
"1089",1089,23893.2
"1090",1090,24101.9
"1091",1091,23993.9
"1092",1092,24194.5
"1093",1093,24676.6
"1094",1094,24608.6
"1095",1095,24360.3
"1096",1096,24427.8
"1097",1097,24396
"1098",1098,24582.3
"1099",1099,24429.2
"1100",1100,24332.1
"1101",1101,24870
"1102",1102,24929.2
"1103",1103,24504
"1104",1104,24595.5
"1105",1105,24356.2
"1106",1106,25247.9
"1107",1107,24337.8
"1108",1108,24464.8
"1109",1109,24398.4
"1110",1110,24543.1
"1111",1111,24828.2
"1112",1112,24544.3
"1113",1113,24486.8
"1114",1114,24596.6
"1115",1115,24571.8
"1116",1116,24353.9
"1117",1117,24281.6
"1118",1118,24570.6
"1119",1119,24778.3
"1120",1120,24296.3
"1121",1121,24250.1
"1122",1122,24660.5
"1123",1123,24598.9
"1124",1124,24419.4
"1125",1125,24546.3
"1126",1126,24453.7
"1127",1127,24224.8
"1128",1128,24269.3
"1129",1129,24516.8
"1130",1130,24847.1
"1131",1131,24970.6
"1132",1132,24962.4
"1133",1133,24283.3
"1134",1134,24675.2
"1135",1135,24833.9
"1136",1136,24762.4
"1137",1137,24751
"1138",1138,24450.7
"1139",1139,24582.1
"1140",1140,25243.4
"1141",1141,24387.5
"1142",1142,24740.6
"1143",1143,24543.4
"1144",1144,24709.8
"1145",1145,24302.5
"1146",1146,24460.2
"1147",1147,24765.7
"1148",1148,24965.4
"1149",1149,24580.8
"1150",1150,24939.2
"1151",1151,24467.3
"1152",1152,24739.2
"1153",1153,24515.1
"1154",1154,24707
"1155",1155,24663.1
"1156",1156,24736.8
"1157",1157,24491.4
"1158",1158,25152.6
"1159",1159,25176.3
"1160",1160,24930
"1161",1161,25112.6
"1162",1162,24029.7
"1163",1163,24565.8
"1164",1164,24414.1
"1165",1165,24541.7
"1166",1166,24955.1
"1167",1167,23850.8
"1168",1168,24641.7
"1169",1169,24435
"1170",1170,24476.6
"1171",1171,24764.7
"1172",1172,24784.9
"1173",1173,24931.2
"1174",1174,24963
"1175",1175,25222.4
"1176",1176,24513.3
"1177",1177,24651.2
"1178",1178,24346.8
"1179",1179,24679.8
"1180",1180,24650.7
"1181",1181,25197.7
"1182",1182,24853.4
"1183",1183,24768.9
"1184",1184,24668
"1185",1185,24647.2
"1186",1186,24813.7
"1187",1187,25184.4
"1188",1188,24757.3
"1189",1189,24776.4
"1190",1190,24969.9
"1191",1191,25096.7
"1192",1192,24162
"1193",1193,24578.9
"1194",1194,24607.7
"1195",1195,24790.5
"1196",1196,24973.3
"1197",1197,24490.8
"1198",1198,24556.2
"1199",1199,24439.4
"1200",1200,24911.3
"1201",1201,25085
"1202",1202,24926.1
"1203",1203,25216.5
"1204",1204,24702.6
"1205",1205,24696.1
"1206",1206,24993.7
"1207",1207,24419.1
"1208",1208,24654.6
"1209",1209,24625.4
"1210",1210,24601
"1211",1211,24300.5
"1212",1212,24421.4
"1213",1213,24744.1
"1214",1214,24414
"1215",1215,24415.7
"1216",1216,24623.2
