"","time","mean_MR_mean_summ","mean_MR_sd_summ","mean_maladaptation_time"
"1027",1027,0.326917484588499,0.264031873683918,0.9
"1028",1028,0.319104547580869,0.26364309581747,0.8
"1029",1029,0.312201016470768,0.261696242229922,0.9
"1030",1030,0.307698428035864,0.259180979831122,0.9
"1031",1031,0.308871094990022,0.259632820402365,0.9
"1032",1032,0.290204424921018,0.253778640895559,0.8
"1033",1033,0.288151123953356,0.252518887807196,0.9
"1034",1034,0.279574952306465,0.25112026502936,0.8
"1035",1035,0.268212190639385,0.245954242247213,0.8
"1036",1036,0.267684383670151,0.249411755962075,0.9
"1037",1037,0.260221870072686,0.24361285163907,0.7
"1038",1038,0.254190113930049,0.239993079129506,0.9
"1039",1039,0.242363388725077,0.233850449180741,0.7
"1040",1040,0.236880927783433,0.232013038526019,0.8
"1041",1041,0.231375528966125,0.227522846904881,0.8
"1042",1042,0.230536332185645,0.230510338143487,0.9
"1043",1043,0.228948345463445,0.228625170910414,0.8
"1044",1044,0.221635589724649,0.2256617682779,1
"1045",1045,0.223914295528069,0.228108958801903,1
"1046",1046,0.214968193526017,0.2247752369473,0.8
"1047",1047,0.208687965741576,0.219630229665784,1
"1048",1048,0.204110683020312,0.217001167681035,1
"1049",1049,0.203052061248192,0.216592050575015,1
"1050",1050,0.202192650356682,0.215468797796652,1
"1051",1051,0.193271408256611,0.21372520593864,0.8
"1052",1052,0.180805932426473,0.204275088030808,1
"1053",1053,0.180389851282946,0.204641438255579,0.9
"1054",1054,0.176465825776637,0.20072068978144,1
"1055",1055,0.161600626707323,0.19115080408196,0.8
"1056",1056,0.163597743850042,0.192622634703534,1
"1057",1057,0.16843284804807,0.198661236657488,0.9
"1058",1058,0.165393333157118,0.1935976128154,1
"1059",1059,0.162747864379988,0.193184781205898,0.9
"1060",1060,0.155687798255113,0.187588176214087,1
"1061",1061,0.154749502666056,0.186672319993959,0.9
"1062",1062,0.145336406287774,0.178664919225931,1
"1063",1063,0.141410169866101,0.179732263599317,1
"1064",1064,0.13925166198105,0.175231837289722,1
"1065",1065,0.141048843074166,0.17729358505799,0.9
"1066",1066,0.134926275962548,0.172341896941525,0.9
"1067",1067,0.135949165897242,0.176334667505005,0.8
"1068",1068,0.128667018709202,0.168663330392999,0.9
"1069",1069,0.128134096855509,0.16777915528226,0.8
"1070",1070,0.121537592654966,0.162130063920172,0.8
"1071",1071,0.115860779330148,0.156864515041362,0.8
"1072",1072,0.120424993778866,0.161878921458083,0.9
"1073",1073,0.119229584959408,0.160619129121225,0.8
"1074",1074,0.114932287918698,0.156853098456258,0.9
"1075",1075,0.115349045979333,0.157718168697122,0.9
"1076",1076,0.108065286481412,0.151434208845755,0.7
"1077",1077,0.10525313894683,0.148469928483065,1
"1078",1078,0.109378563177447,0.155161258534443,0.8
"1079",1079,0.102077572847707,0.147817565030388,0.8
"1080",1080,0.105119310920573,0.14998511416899,0.9
"1081",1081,0.0981832837476503,0.143310718849894,0.8
"1082",1082,0.0921430122254194,0.137660938152379,0.9
"1083",1083,0.0888451651259249,0.134305249328089,0.8
"1084",1084,0.0945428896452592,0.141519420333495,0.8
"1085",1085,0.0949829016689844,0.143342643101962,1
"1086",1086,0.0933449185104794,0.141690582202359,1
"1087",1087,0.0926790334712286,0.142646854806774,0.9
